_class_name,_created_at,_object_id,_updated_at,imageFile,tailNumber
Aircraft,2013-01-17T03:43:59.000Z,wDVoBoHhje,2013-01-17T04:35:42.623Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/86f8c8d5-c7f2-40e6-af7c-cee25268292a-N7714Q.jpg,N7714Q
Aircraft,2013-01-17T03:43:59.770Z,tXlEvhkgez,2013-01-17T04:36:11.645Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/451953dd-8c09-4105-bc47-054d7c57ad23-N756QV.jpg,N756QV
Aircraft,2013-01-17T03:43:59.878Z,jMDzzrC5m2,2013-01-17T04:36:28.899Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/28a82a58-65fe-437b-8bd6-c07725b1d46f-N739LV.jpg,N739LV
Aircraft,2013-01-17T03:43:59.209Z,gQGgcgkuCM,2013-01-17T04:36:43.723Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/5caafa6e-2660-4241-a708-68d2486c1f19-N4920G.jpg,N4920G
Aircraft,2013-01-17T03:43:58.713Z,KRM964WgwR,2013-02-08T18:14:23.911Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/5d962cd0-3bbc-4522-9c41-aafbb84875b8-N35922.jpg,N35922
Aircraft,2013-01-17T03:43:59.868Z,oUnz6BLVMF,2013-02-04T20:57:09.086Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/da7e1538-d45b-47c4-bf6d-5eafaa6adc9e-N337GD.jpg,N337GD
Aircraft,2013-01-17T03:43:59.858Z,gWJ2YimjG5,2013-01-17T04:37:50.168Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/53d1a8b5-d397-4601-9865-1af2ad8baabc-N310EW.jpg,N310EW
Aircraft,2013-01-17T03:43:59.368Z,KhVD1iFq3S,2013-01-17T04:38:07.040Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/fbae5994-0774-4f37-8456-139ebb1aeff4-N2994E.jpg,N2994E
Aircraft,2013-01-17T03:43:59.848Z,sR10CVnQeF,2013-02-08T18:12:26.924Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/7472ce79-733a-4800-b472-090b724f52bf-N250PA.jpg,N250PA
Aircraft,2013-01-17T03:43:59.827Z,gVKm0nEvPC,2013-02-08T18:11:39.107Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/a1c2a1d0-2d07-4812-a899-080e485d2fa5-N150SC.jpg,N150SC
Aircraft,2013-01-17T03:43:59.488Z,tNx1Xs45zM,2013-01-29T00:07:17.684Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/ae606a7c-8a00-4461-8f47-a36dacf89b7f-N1105V.jpg,N1105V
Aircraft,2013-01-31T21:00:41.295Z,ItcEvzb9uK,2013-02-08T18:14:10.629Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/cd9f8e2a-4ffa-4047-a100-23788454c0d3-N9986H.jpg,N9986H
Aircraft,2013-01-31T21:01:41.093Z,3hMf5bryiT,2013-02-08T18:13:06.101Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/531e8a96-01a5-496f-a807-9ca858038b12-N989DE.jpg,N989DE
Aircraft,2013-01-31T21:01:52.257Z,2LM8wHGHMW,2013-02-12T19:41:04.297Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/1bc0eb08-4786-4094-8934-49059d567fb9-N292MA.jpg,N929MA
Aircraft,2013-01-31T21:01:11.009Z,DEGzUaS3yI,2013-02-08T19:25:05.166Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/ad489fda-925c-4d9d-9205-7c76dac52b11-LogEntry-Flight-Synced.png,N4887Z
Aircraft,2013-02-08T20:02:55.946Z,c60GelXQ25,2013-02-08T20:03:34.382Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/294cdc69-08b0-4c69-8644-501f36412312-LogEntry-Flight-Synced.png,VH-POO
Aircraft,2013-02-08T20:03:18.471Z,VyfZm57bPR,2013-02-08T20:04:05.284Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/b9c914df-a709-4f79-8cdf-b4a94a17c486-LogEntry-Flight-Synced.png,ZS-EZK
Aircraft,2013-02-08T20:04:22.510Z,4FPLf08mRJ,2013-02-08T20:04:26.264Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/269ff688-96a2-448f-b43a-8565f7b5cfb0-LogEntry-Flight-Synced.png,ZK-LAL
Aircraft,2013-04-01T19:49:45.268Z,6UVBzHY6DD,2013-04-02T16:04:35.147Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/9b05ad7d-e194-4d21-a9ee-3e7d4f905e98-LogEntry-Flight-Synced.png,N400JM
Aircraft,2013-04-01T19:50:08.766Z,OipCrmoPAo,2013-04-02T16:04:39.423Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/85865d13-6fc7-41be-a703-64e75861b880-LogEntry-Flight-Synced.png,N59984
Aircraft,2013-06-05T19:11:31.003Z,XDHR4iTxrR,2013-06-05T19:11:47.146Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/286b343d-3698-42f5-9808-83a333c8bbb0-LogEntry-Flight-Synced.png,N92HC
Aircraft,2013-06-11T15:56:25.479Z,wgIdcPJ4hZ,2013-06-11T15:56:35.273Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/93a2982c-f9af-4ba2-8816-b53447f20321-LogEntry-Flight-Synced.png,N244ME
Aircraft,2013-06-11T15:56:50.934Z,p8opAtkwMd,2013-06-11T15:56:55.561Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/c6e66b58-e8fe-4931-bce4-d1687ca584e5-LogEntry-Flight-Synced.png,N148DW
Aircraft,2013-06-11T15:57:14.056Z,jhEyPD88gW,2013-06-11T15:57:17.858Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/b6a4951b-0b2e-4100-818f-82e5ead8e316-LogEntry-Flight-Synced.png,N978NC
Aircraft,2013-07-03T16:21:05.121Z,Pkrzx6ezX1,2013-07-03T16:21:16.814Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/d3b65a2a-b94d-4065-a06f-f992024a960b-LogEntry-Flight-Synced.png,N149DW
Aircraft,2013-07-03T16:21:25.122Z,Cua8jNmfVX,2013-09-27T13:09:30.708Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/609ea439-c4ac-44f8-8114-9b1292755fdf-N72RK.JPG,N72RK
Aircraft,2013-07-03T16:21:47.339Z,NcoexBrJPq,2013-07-03T16:21:55.614Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/079b53f6-51e5-4f15-989a-5a8c5d54e6f2-LogEntry-Flight-Synced.png,N900AM
Aircraft,2013-07-19T15:17:56.848Z,v4KqhNZis5,2013-07-19T15:19:49.810Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/010cbf3f-a53b-49fd-8831-c6f628e60002-LogEntry-Flight-Synced.png,N35834
Aircraft,2013-07-19T15:20:12.710Z,59OfuFZppA,2014-04-08T15:32:48.416Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/b5341810-cbca-4b4f-93da-f199ff566799-LogEntry-Flight-Synced.png,N154WW
Aircraft,2013-08-19T14:58:29.171Z,IJ1DCi0Zec,2013-08-19T14:59:38.122Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/3686f87d-dad1-431e-98ab-2b65af1a7683-LogEntry-Flight-Synced.png,N8225Q
Aircraft,2013-09-20T19:39:48.829Z,PfD7vtOZZE,2014-04-08T15:32:40.108Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/0685a499-6a77-41e7-b688-08a7d8ddfde6-LogEntry-Flight-Synced.png,N217DL
Aircraft,2013-10-24T12:21:29.574Z,hwsLuIOe7S,2014-04-08T15:32:32.473Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/6b1744ce-6ecd-40cc-80de-4c674375011f-LogEntry-Flight-Synced.png,N7265H
Aircraft,2013-10-24T12:21:45.181Z,6xibxRtqAO,2013-10-24T12:23:13.737Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/f9641db7-d157-40d5-a93e-351f8e732818-LogEntry-Flight-Synced.png,N515DS
Aircraft,2013-11-11T13:17:39.781Z,t5g2l6KkB1,2014-06-20T15:28:24.661Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/90db989e-b247-4f0a-8631-5d5bbf738548-LogEntry-Flight-Synced.png,VH-TSO
Aircraft,2013-11-11T13:18:08.898Z,KkuHCdPig4,2013-11-11T13:18:31.651Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/d64bc0c6-7135-424f-a1ce-459c15317eeb-LogEntry-Flight-Synced.png,ZS-ODN
Aircraft,2013-11-11T13:18:44.558Z,82J2IgBbac,2014-04-08T17:32:14.073Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/0a602303-c632-4b94-8206-dd1d4e3f26fc-LogEntry-Flight-Synced.png,ZK-EOP
Aircraft,2013-11-26T16:18:23.558Z,ODWwVdAOtK,2013-11-26T16:18:41.610Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/f4b2a9c8-b095-41b5-9770-59adeaac3a35-LogEntry-Maintenance-Synced.png,TEST
Aircraft,2013-12-02T20:26:40.638Z,82DeZDx2Ib,2013-12-02T20:26:56.933Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/afab64b7-657d-4077-97ec-93c62dc4f4b9-LogEntry-Flight.png,VH-SVY
Aircraft,2013-12-17T21:07:12.499Z,QzCPCGtHiQ,2013-12-17T21:07:38.026Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/93dc508b-6abd-4400-a94e-cc68a5e96581-LogEntry-Flight.png,VH-EIG
Aircraft,2013-12-17T21:07:27.990Z,PQBE3yNfJG,2013-12-17T21:07:47.130Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/13a9d000-52f3-4329-838f-2038de61e641-LogEntry-Flight.png,VH-EIH
Aircraft,2014-01-20T20:42:22.511Z,DTPsucFjCA,2014-01-20T20:45:34.912Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/2c126e54-5439-4292-b9b5-55f002e046db-image2.jpg,CXBXG
Aircraft,2014-01-20T20:42:16.335Z,JHgUyIIy7Z,2014-01-20T20:52:14.130Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/92a053b6-c640-4251-9179-051254248ac6-image.jpg,CXBXH
Aircraft,2014-03-13T16:14:53.229Z,j5TyEIrtIe,2014-04-08T15:33:10.951Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/8baefef7-bd9c-45d1-8f58-9d626b6907b1-LogEntry-Flight-Synced.png,N683KW
Aircraft,2014-04-08T15:30:35.420Z,KTDFzzA9bu,2014-04-11T15:58:28.614Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/3d8ef2d8-944b-4d9d-81e8-b6c409cbad8d-D-ELYK.jpg,D-ELYK
Aircraft,2013-12-02T17:23:15.817Z,jUa75mqvsZ,2014-04-08T15:31:56.329Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/c74ebf8a-5df7-4fcf-b758-0486d4912c74-LogEntry-Flight-Synced.png,N59906
Aircraft,2014-05-19T12:15:00.629Z,lbF9nCAuNU,2014-05-19T13:00:53.352Z,http://files.parse.com/a17c08ea-b734-48b2-852d-8902bad31949/566d519c-f0dd-44f4-a5c0-f1b0eda4de1c-PH-RVS.jpg,PHRVS
Aircraft,2014-06-16T13:30:04.899Z,orUaSlQTFC,2014-06-16T13:31:54.869Z,http://files.parsetfss.com/a17c08ea-b734-48b2-852d-8902bad31949/tfss-d46a3179-348f-45e9-8c8c-0d964c574808-LogEntry-Flight-Synced.png,N7584N
Aircraft,2014-06-25T11:46:57.824Z,QA4A2Og3eV,2014-06-25T11:47:14.160Z,http://files.parsetfss.com/a17c08ea-b734-48b2-852d-8902bad31949/tfss-56a2b8e5-58b5-45bd-be4f-125fe22300e4-OY-ILS.JPG,OY-ILS
Aircraft,2014-07-28T12:16:33.795Z,S08pICS4zB,2014-07-28T12:16:46.837Z,http://files.parsetfss.com/a17c08ea-b734-48b2-852d-8902bad31949/tfss-43d14a98-8ff0-4f8f-b2a8-2cf52ac55142-LogEntry-Flight-Synced.png,OY-SUR
Aircraft,2014-08-11T14:16:25.962Z,WdpqQfbPcW,2014-08-11T19:37:30.379Z,http://files.parsetfss.com/a17c08ea-b734-48b2-852d-8902bad31949/tfss-6d1f963b-fffe-40e1-ac56-a69e525b4d59-LogEntry-Flight-Synced.png,N303AB
Aircraft,2014-10-17T11:23:12.366Z,uPptbamXk4,2014-10-17T11:24:19.433Z,http://files.parsetfss.com/a17c08ea-b734-48b2-852d-8902bad31949/tfss-928bad91-2da1-4774-ad7e-d3b79b44bd9c-LogEntry-Flight-Synced.png,N97413
